,x,y,semivariance,n_pairs
277,-757.0588235294117,97.05882352941171,1.8221717903739203,7.0
278,-757.0588235294117,135.88235294117635,1.278540120038782,6.0
279,-757.0588235294117,174.705882352941,1.7067331528054683,6.0
280,-757.0588235294117,213.52941176470586,1.153302747887423,3.0
281,-757.0588235294117,252.3529411764705,2.0574895084817184,8.0
282,-757.0588235294117,291.17647058823513,1.2887103954857608,8.0
283,-757.0588235294117,330.0,1.1890826838838264,6.0
284,-757.0588235294117,368.82352941176464,0.3258019528931932,6.0
285,-757.0588235294117,407.6470588235293,1.0074746134563808,7.0
286,-757.0588235294117,446.4705882352939,0.4562362542151903,4.0
287,-757.0588235294117,485.2941176470588,0.8350515553551309,3.0
288,-757.0588235294117,524.1176470588234,0.2152910602775028,7.0
289,-757.0588235294117,562.9411764705881,0.9455556148965797,6.0
291,-757.0588235294117,640.5882352941176,0.21739348757544052,4.0
308,-718.2352941176471,-640.5882352941177,0.9426800037696671,3.0
309,-718.2352941176471,-601.7647058823529,0.14025591990027705,3.0
310,-718.2352941176471,-562.9411764705883,0.14298582213464983,3.0
312,-718.2352941176471,-485.29411764705884,0.04635495893315985,3.0
313,-718.2352941176471,-446.47058823529414,0.1879829455486531,4.0
314,-718.2352941176471,-407.6470588235295,1.114056612247627,5.0
315,-718.2352941176471,-368.82352941176475,1.1299139239065328,9.0
316,-718.2352941176471,-330.0,1.1907869268838671,5.0
317,-718.2352941176471,-291.17647058823536,1.4792448422423563,8.0
319,-718.2352941176471,-213.52941176470597,1.2088606330452674,8.0
320,-718.2352941176471,-174.70588235294122,1.3478582753181814,8.0
321,-718.2352941176471,-135.88235294117658,1.2593735851473449,9.0
322,-718.2352941176471,-97.05882352941182,1.6913058241501548,9.0
323,-718.2352941176471,-58.23529411764707,2.559983841859657,14.0
324,-718.2352941176471,-19.411764705882433,1.1412275838580128,13.0
325,-718.2352941176471,19.41176470588232,1.8267321775710121,11.0
326,-718.2352941176471,58.23529411764707,0.5887048214305987,6.0
327,-718.2352941176471,97.05882352941171,2.302112875688141,4.0
328,-718.2352941176471,135.88235294117635,1.873138346511073,6.0
329,-718.2352941176471,174.705882352941,1.325101921395557,6.0
330,-718.2352941176471,213.52941176470586,1.996149669131545,9.0
331,-718.2352941176471,252.3529411764705,1.7058743308303665,5.0
332,-718.2352941176471,291.17647058823513,0.9632654187884958,6.0
333,-718.2352941176471,330.0,0.34305060531144804,5.0
334,-718.2352941176471,368.82352941176464,0.6701034025784312,7.0
335,-718.2352941176471,407.6470588235293,1.1307710591322337,6.0
336,-718.2352941176471,446.4705882352939,0.22185773925135735,6.0
337,-718.2352941176471,485.2941176470588,0.5694514273192215,9.0
338,-718.2352941176471,524.1176470588234,0.6088634259589116,8.0
339,-718.2352941176471,562.9411764705881,0.9880946635537542,4.0
340,-718.2352941176471,601.7647058823529,0.7200180845075054,6.0
341,-718.2352941176471,640.5882352941176,0.19390066944881923,6.0
342,-718.2352941176471,679.4117647058822,0.41212299493099563,6.0
356,-679.4117647058824,-718.2352941176471,0.7315564355755617,3.0
359,-679.4117647058824,-601.7647058823529,0.4387318736245769,3.0
360,-679.4117647058824,-562.9411764705883,0.6573031559419399,4.0
361,-679.4117647058824,-524.1176470588235,0.2110007964934986,8.0
362,-679.4117647058824,-485.29411764705884,0.6271571539489552,4.0
363,-679.4117647058824,-446.47058823529414,0.09297671884205601,3.0
364,-679.4117647058824,-407.6470588235295,0.529702958390312,6.0
365,-679.4117647058824,-368.82352941176475,0.8128104007782536,7.0
367,-679.4117647058824,-291.17647058823536,0.7743815277992839,9.0
